id,name,coordinates.lon,coordinates.lat,type,status,district
63ae79aabfd3d90017e8f26a,Cách Mạng Tháng Tám - Trường Sơn,106.6664904356,10.7858618271433,tth,UP,Quận 10
5d8cd7fb766c880017188954,Phạm Văn Đồng - Đường 20 (hướng đi Sân bay),106.722366213799,10.8291383225836,tth,UP,Thành phố Thủ Đức
63b66089bfd3d90017eaa4bd,Nơ Trang Long - Chu Văn An,106.695753335953,10.8114079914905,tth,UP,Quận Bình Thạnh
63ae798abfd3d90017e8f255,Cách Mạng Tháng Tám - Bắc Hải,106.664623618126,10.7869104851311,tth,UP,Quận 3
662a89f51afb9c00172d26ef,Nguyễn Văn Linh - Trịnh Quang Nghị 2,106.634652614593,10.7024001433989,tth,UP,Huyện Bình Chánh
6318287ec9eae60017a19f36,Nguyễn Thị Minh Khai - Đinh Tiên Hoàng 2,106.701729297638,10.7865626894198,tth,UP,Quận 1
6792f3058c5ed4001b27f58e,Trần Văn Giàu - Cầu Đôi,106.505670547485,10.7937661942221,tth,UP,Huyện Bình Chánh
587476e3b807da0011e33cee,Cộng Hòa - Út Tịch 1,106.657853722572,10.8010380283306,tth,UP,Quận Tân Bình
597bf277faa7ea0011c7c29f,Cầu Phú Hữu 2,106.792302131653,10.8208924000834,tth,UP,Thành phố Thủ Đức
5d9de49d766c880017188cb9,Cao tốc LTDG - Đỗ Xuân Hợp 2,106.778848171234,10.7961796195486,tth,UP,Thành phố Thủ Đức
5d9ddf49766c880017188ca0,Nút giao Hàng Xanh 7 (Hàng Xanh - Cầu Văn Thánh),106.712324023247,10.8012277259948,tth,UP,Quận Bình Thạnh
63ae763bbfd3d90017e8f0c4,Lý Thái Tổ - Nguyễn Đình Chiểu,106.678780317307,10.7662581006404,tth,UP,Quận 10
5d8cda6a766c880017188960,Phạm Văn Đồng - Kha Vạn Cân (hướng đi Sân bay),106.743823885918,10.8411932946322,tth,UP,Thành phố Thủ Đức
662b80e81afb9c00172dcbec,Cách Mạng Tháng Tám - Sương Nguyệt Anh,106.690050959587,10.7730352321784,tth,UP,Quận 1
56df84abc062921100c143e5,Nút giao Nguyễn Thái Sơn 3 (Phạm Văn Đồng),106.679236292839,10.8142217306645,tth,UP,Quận Gò Vấp
662a86a11afb9c00172d2410,Tùng Thiện Vương - Cao Xuân Dục,106.65856719017,10.7456043005395,tth,UP,Quận 8
56de42f611f398ec0c48128b,Võ Văn Kiệt - Nguyễn Văn Cừ 1,106.68691277504,10.7543213358374,tth,UP,Quận 1
58e49ff8d9d6200011e0b9d4,Nam Kỳ Khởi Nghĩa - Trần Quốc Toản,106.687223911285,10.7863150164711,tth,UP,Quận 3
5a8241105058170011f6eaa6,Đinh Tiên Hoàng - Võ Thị Sáu 2,106.695785522461,10.7919218604929,tth,UP,Quận 1
65e054fb6b18080018db6632,Lê Duẩn - Mạc Đĩnh Chi,106.701187491417,10.7832164525575,tth,UP,Quận 1
5a825ded5058170011f6ead7,Quốc lộ 50 - Cầu Ông Thìn (2),106.655831336975,10.6484508725221,tth,UP,Huyện Bình Chánh
5d8cdb0a766c880017188964,Trường Chinh - Xuân Hồng,106.651657819748,10.7937134991298,tth,UP,Quận Tân Bình
5a6082698576340017d06678,QL1 - Trạm thu phí AS-AL 2,106.59654378891,10.7947673992211,tth,UP,Quận Bình Tân
6792efe48c5ed4001b27f336,Xa Lộ Hà Nội - Cổng ĐH An ninh,106.808030605316,10.8735359428243,tth,UP,Thành phố Thủ Đức
63b5503bbfd3d90017ea7ccc,Nút giao Mỹ Thủy (7),106.775082349777,10.7697468141455,tth,UP,Thành phố Thủ Đức
662a873b1afb9c00172d2483,Võ Trần Chí - Trần Văn Giàu 1,106.581823825836,10.7489509551128,tth,UP,Quận Bình Tân
66b1c3fa779f740018674146,Nguyễn Hữu Cảnh - Ung Văn Khiêm,106.723707318306,10.7991305062692,tth,UP,Quận Bình Thạnh
5ad0621c98d8fc001102e268,Lý Tự Trọng - Hai Bà Trưng 2,106.702335476875,10.779137682017,tth,UP,Quận 1
66b1c34d779f74001867409e,Ba Tháng Hai - Thành Thái,106.666828393936,10.768197450899,tth,UP,Quận 10
56de42f611f398ec0c48128c,Võ Văn Kiệt - Nguyễn Văn Cừ 2,106.6864407,10.7536415,tth,UP,Quận 5
662b558c1afb9c00172d8ed2,625 Quang Trung,106.663491725922,10.8351289878163,tth,UP,Quận Gò Vấp
6623f4836f998a001b2528bf,Võ Nguyên Giáp - Đỗ Xuân Hợp (2),106.765801906586,10.8354978023394,tth,UP,Thành phố Thủ Đức
662b85bf1afb9c00172dd149,Nam Kỳ Khởi Nghĩa - Hàm Nghi,106.701128482819,10.7709694352995,tth,UP,Quận 1
63b3c274bfd3d90017e9ab93,Hồng Bàng - Phù Đổng Thiên Vương,106.662520766258,10.7546955197447,tth,UP,Quận 5
63b54bcdbfd3d90017ea7a82,Tỉnh lộ 43 - KCX Linh Trung 2,106.718090772629,10.8960825794088,tth,UP,Thành phố Thủ Đức
662b81a31afb9c00172dcc65,Nam Kỳ Khởi Nghĩa - Võ Văn Tần,106.693907976151,10.7805394362678,tth,UP,Quận 3
63ae7b3cbfd3d90017e8f34d,Ba Tháng Hai - Lý Thường Kiệt 3,106.659817099571,10.7644610285251,tth,UP,Quận 10
6318283cc9eae60017a19f0c,Nguyễn Thị Minh Khai - Đinh Tiên Hoàng 1,106.701568365097,10.7866101161314,tth,UP,Quận 1
5deb576d1dc17d7c5515acf6,Nút giao Ngã sáu Cộng Hòa,106.681205,10.765389,tth,UP,Quận 10
58746488b807da0011e33cd7,Cầu vượt Sóng Thần 2,106.748507022858,10.8743050851613,tth,UP,Tỉnh Bình Dương
662b83381afb9c00172dcf88,Hai Bà Trưng - Nguyễn Đình Chiểu,106.695957183838,10.7846919631639,tth,UP,Quận 1
63b660d8bfd3d90017eaa4d5,Cầu Tân Thuận 2 - Q7 (Q4-Q7),106.723691225052,10.7527666230832,tth,UP,Quận 7
63ae7be0bfd3d90017e8f3a8,Ba Tháng Hai - Lê Đại Hành 1,106.657199263573,10.7621527500863,tth,UP,Quận 11
63b54a04bfd3d90017ea783e,Lê Văn Việt - Hoàng Hữu Nam,106.813673973084,10.8502078623705,tth,UP,Thành phố Thủ Đức
63b54f70bfd3d90017ea7c86,Cầu Sài Gòn (10),106.726276874542,10.7985614089434,tth,UP,Quận Bình Thạnh
5a8267fe5058170011f6eae1,Lê Văn Lương - Cầu Rạch Đĩa,106.697700619698,10.7235786992945,tth,UP,Huyện Nhà Bè
58746122b807da0011e33cc5,Quốc lộ 1 - ĐH Nông Lâm 2,106.787940859795,10.8672299545045,tth,UP,Thành phố Thủ Đức
63ae768dbfd3d90017e8f0f1,Khánh Hội - Vĩnh Hội,106.701278686523,10.7560025246799,tth,UP,Quận 4
662a89ae1afb9c00172d26ad,Nguyễn Văn Linh - Trịnh Quang Nghị,106.633536815643,10.7028218314316,tth,UP,Huyện Bình Chánh
63b54a70bfd3d90017ea7862,Lã Xuân Oai - Đường D2,106.804490089417,10.830049838744,tth,UP,Thành phố Thủ Đức
58e49783d9d6200011e0b9ce,Trường Chinh - Phan Văn Hớn 2 (HM-Q12),106.624760627747,10.8274733494884,tth,UP,Quận 12
5deb576d1dc17d7c5515ad0c,Nút giao Ngã sáu Phù Đổng 1,106.693342,10.771135,tth,UP,Quận 1
6623ef776f998a001b252768,Quốc Lộ 22 - Nguyễn Thị Sóc,106.602745056152,10.8616719345273,tth,UP,Huyện Hóc Môn
58d7bbf2c1e33c00112b3216,Quốc lộ 1 - Đinh Đức Thiện 2,106.570794582367,10.6656266937569,tth,UP,Huyện Bình Chánh
662b51d21afb9c00172d89bf,Tên Lửa - Đường số 7,106.610255241394,10.7521974381054,tth,UP,Quận Bình Tân
58746295b807da0011e33ccb,Quốc lộ 1 - Bình Đường,106.758962273598,10.8752217316573,tth,UP,Thành phố Thủ Đức
585b2baec3f96200127dc508,Nguyễn Văn Linh - Huỳnh Tấn Phát 2,106.728331446648,10.7525452734972,tth,UP,Quận 7
5a606cd08576340017d06628,BX Miền Đông - Đinh Bộ Lĩnh 2,106.71005487442,10.8144114199963,tth,UP,Quận Bình Thạnh
662b80051afb9c00172dcaf6,Nguyễn Trãi - Nguyễn Cư Trinh,106.686580181122,10.7625269242757,tth,UP,Quận 1
589d0bceb3bf7600110283d6,Cầu Sài Gòn 2 (dạ cầu),106.727387309074,10.7990303873734,tth,UP,Thành phố Thủ Đức
587ee2aeb807da0011e33d52,Phan Đăng Lưu - Phan Xích Long,106.683232784271,10.8020392090947,tth,UP,Quận Phú Nhuận
662b5bc31afb9c00172d92e2,Lê Trọng Tấn - Đường Kênh 19/5,106.615083217621,10.8093424582973,tth,UP,Quận Tân Phú
662b58401afb9c00172d90f5,Hoàng Văn Thụ - Bùi Thị Xuân,106.661823391914,10.8006480938667,tth,UP,Quận Tân Bình
5874644cb807da0011e33cd5,Cầu vượt Sóng Thần 1,106.750985383987,10.8758064874328,tth,UP,Thành phố Thủ Đức
662b867b1afb9c00172dd250,Trần Hưng Đạo - Ký Con,106.696676015854,10.7692988698081,tth,UP,Quận 1
597bf0b8faa7ea0011c7c293,Cầu Phú Hữu 1,106.791679859161,10.8163926125139,tth,UP,Thành phố Thủ Đức
5a10c79f02eb490011a0b0dd,Mai Chí Thọ - Tố Hữu (C6),106.716717481613,10.7713172490313,tth,UP,Thành phố Thủ Đức
662b83ff1afb9c00172dcffb,Lê Duẩn - Phạm Ngọc Thạch,106.698188781738,10.7805078178228,tth,UP,Quận 1
5deb576d1dc17d7c5515ad19,Nguyễn Thị Minh Khai - Mạc Đĩnh Chi,106.699659,10.784426,tth,UP,Quận 1
5b6329fdfd4edb0019c7dc0b,Nguyễn Trãi - Nguyễn Văn Cừ,106.684375405312,10.7596494601112,tth,UP,Quận 1
589add0fb3bf7600110283ae,Tô Ký (Tỉnh lộ 15) - Đông Bắc,106.623339056969,10.8556133114939,tth,UP,Quận 12
5deb576d1dc17d7c5515ad01,Võ Thị Sáu - Hai Bà Trưng,106.691815853119,10.7878590168447,tth,UP,Quận 3
58abbf72bd82540010390ba4,Cầu Sài Gòn 9 (Bình Thạnh - Thủ Đức),106.726319789886,10.7985614089434,tth,UP,Quận Bình Thạnh
6623f1f16f998a001b25281f,Phạm Văn Đồng - Đào Trinh Nhất,106.759042739868,10.865064709737,tth,UP,Thành phố Thủ Đức
58ad6961bd82540010390be5,Nút giao Phú Nhuận 1 (Phan Đình Phùng),106.680378913879,10.7990461956223,tth,UP,Quận Phú Nhuận
5a8257e25058170011f6eacd,Hoàng Hữu Nam - Đường D400,106.814097762108,10.8700853140978,tth,UP,Thành phố Thủ Đức
5a606dbc8576340017d0662b,Điện Biên Phủ - Nguyễn Hữu Cảnh,106.721127033234,10.7978184191454,tth,UP,Quận Bình Thạnh
662b52a31afb9c00172d8b01,Lê Đức Thọ - Hẻm 688,106.670604944229,10.846467192202,tth,UP,Quận Gò Vấp
58abbee5bd82540010390ba2,Cầu Sài Gòn 5 (dạ cầu Thủ Đức),106.729398965836,10.7991621227557,tth,UP,Thành phố Thủ Đức
662a8ef41afb9c00172d2af2,Lê Văn Lương - Đường số 15,106.704325675964,10.7449876687987,tth,UP,Quận 7
6623f5b56f998a001b25292f,Võ Nguyên Giáp - quay đầu An Phú (2),106.746608018875,10.8022710610062,tth,UP,Thành phố Thủ Đức
